policy_id,policy_family,policy_variant,analysis_only,selection_mode,selection_key,split,chunk_words,aggregation,task,example_count,strict_precision,strict_recall,strict_f1,masking_f2,mean_commit_context_words,selection_error_rate,gold_premature_rate,wrong_commitment_rate,missed_entity_rate
rescore-patience:main:0b91cc5cc041f39a,rescore-patience,main,False,matched_latency,rescore-patience,test,1,overall,__overall__,1200,0.7741211667913238,0.6452618453865336,0.703842230533832,0.7572660960682912,6.529468599033817,0.3339000340020401,0.08302169035153328,0.22587883320867613,0.35473815461346636
snapshot-patience:main:f6a5b64c42ef6674,snapshot-patience,main,False,matched_latency,snapshot-patience,test,1,task,ai4privacy-en,300,0.7388392857142857,0.5347334410339257,0.6204311152764761,0.7072235673930589,0.5589123867069486,0.4386129334582943,0.140625,0.2611607142857143,0.46526655896607433
snapshot-patience:main:f6a5b64c42ef6674,snapshot-patience,main,False,matched_latency,snapshot-patience,test,1,task,gretel,300,0.6787878787878788,0.7156549520766773,0.6967340590979783,0.8163766833775681,0.71875,0.3265940902021773,0.045454545454545456,0.3212121212121212,0.28434504792332266
snapshot-patience:main:f6a5b64c42ef6674,snapshot-patience,main,False,matched_latency,snapshot-patience,test,1,task,nemotron-pii,300,0.825,0.8198757763975155,0.822429906542056,0.7775738361421659,0.45454545454545453,0.19626168224299065,0.0375,0.175,0.18012422360248448
snapshot-patience:main:f6a5b64c42ef6674,snapshot-patience,main,False,matched_latency,snapshot-patience,test,1,task,privy,300,0.8721804511278195,0.6810176125244618,0.7648351648351648,0.7588510606174982,18.25287356321839,0.26483516483516484,0.06766917293233082,0.12781954887218044,0.31898238747553814
snapshot-patience:main:f6a5b64c42ef6674,snapshot-patience,main,False,matched_latency,snapshot-patience,test,1,overall,__overall__,1200,0.7741211667913238,0.6452618453865336,0.703842230533832,0.7572660960682912,6.529468599033817,0.3339000340020401,0.08302169035153328,0.22587883320867613,0.35473815461346636
stability-gate:full:04cc03154bd75325,stability-gate,full,False,matched_latency,stability-gate/full,test,1,task,ai4privacy-en,300,0.6948717948717948,0.4378029079159935,0.537165510406343,0.6027039113832605,1.952029520295203,0.5024777006937562,0.10256410256410256,0.30512820512820515,0.5621970920840065
stability-gate:full:04cc03154bd75325,stability-gate,full,False,matched_latency,stability-gate/full,test,1,task,gretel,300,0.6577540106951871,0.3929712460063898,0.4920000000000001,0.5065961651444746,2.1219512195121952,0.526,0.0481283422459893,0.3422459893048128,0.6070287539936102
stability-gate:full:04cc03154bd75325,stability-gate,full,False,matched_latency,stability-gate/full,test,1,task,nemotron-pii,300,0.7948717948717948,0.38509316770186336,0.5188284518828452,0.352522639068564,1.7741935483870968,0.4895397489539749,0.02564102564102564,0.20512820512820512,0.6149068322981367
stability-gate:full:04cc03154bd75325,stability-gate,full,False,matched_latency,stability-gate/full,test,1,task,privy,300,0.8809523809523809,0.2172211350293542,0.3485086342229199,0.2516814009559663,5.018018018018018,0.6593406593406593,0.03968253968253968,0.11904761904761904,0.7827788649706457
stability-gate:full:04cc03154bd75325,stability-gate,full,False,matched_latency,stability-gate/full,test,1,overall,__overall__,1200,0.7259923175416133,0.35349127182044887,0.47547169811320755,0.44702449699106434,2.569664902998236,0.5480083857442348,0.07170294494238157,0.2740076824583867,0.6465087281795511
